,Title,Writer(s),Date,Link
3141,Prosecutor outlines 'disturbing' death in charging boyfriend,"Vella, Vinny. 
",2020-02-08,proquest.com/docview/2352815952/citation/55444B42057F4ED4PQ/13
3142,"Pa. cities decriminalize pot, but arrests go on: WEED WHACKING","Wood, Sam. 
",2020-02-09,proquest.com/docview/2352815724/citation/9DFE028397784BB2PQ/2
3143,U.S. Steel Property In Bucks for Sale: Developer is sought for U.S. Steel industrial site,"DiStefano, Joseph N. 
",2020-02-12,proquest.com/docview/2353812176/citation/61E95D9DE9B64BF5PQ/7
3144,Six plead guilty in heroin ring: Neighbors in Warminster had alerted authorities to suspicious activity at the house.,"Vella, Vinny. 
",2020-02-12,proquest.com/docview/2353811427/citation/61E95D9DE9B64BF5PQ/17
3145,Appeal of housing denial over pot: The Navy vet says she was turned down for the federal subsidy because she admitted using medical marijuana.,"Wood, Sam. 
",2020-02-13,proquest.com/docview/2354557733/citation/4F984ECAD23A498EPQ/8
3146,Man dies after being struck in head by officer,"Moran, Robert. 
",2020-02-14,proquest.com/docview/2355094955/citation/69227F569FC44088PQ/11
3147,'Philly Jesus' sues city over yule-market arrest,"Vadala, Nick. 
",2020-02-16,proquest.com/docview/2356373719/citation/2AD2FB2C9A8747FAPQ/9
3148,"In Bucks, treatment instead of the courts: For minor drug-possession charges, a diversionary program lets first-timers get help immediately.","Vella, Vinny. 
",2020-02-17,proquest.com/docview/2356373602/citation/125661EACDD6421CPQ/8
3149,News in Brief,,2020-02-19,proquest.com/docview/2358079011/citation/FCEABBDAD6FC41BCPQ/45
3150,News in Brief,,2020-02-19,proquest.com/docview/2358077610/citation/FCEABBDAD6FC41BCPQ/46
3151,"Montco hit-run is linked to drug case: DNA tied a Germantown man, jailed for alleged involvement in a heroin ring, to death of motorcyclist in Norristown.","Vella, Vinny. 
",2020-02-22,proquest.com/docview/2362521155/citation/FD69763969FD4AC1PQ/11
3152,Mushrooms and LSD: Scientists wonder whether small doses can yield big results for PTSD and more.,"Ao, Bethany. 
",2020-02-23,proquest.com/docview/2362523792/citation/3AD26B0340584396PQ/34
3153,"A Philly team like no other: The Kings flamed out after one season - well, their arena did.; How many of this city's other pro teams were owned by a dentist who doubled as a cocaine kingpin? How many had an executive who paid a Pagan to torch their arena?","Fitzpatrick, Frank. 
",2020-02-24,proquest.com/docview/2362521898/citation/BEB1BC9328264E4EPQ/22
3154,South Phila. selected for injection site: Sources say building at Broad and McKean will hold facility after judge affirms ruling. U.S. promises appeal.,"Whelan, Aubrey; Roebuck, Jeremy. 
",2020-02-26,proquest.com/docview/2364689683/citation/D7F887DB52824BC8PQ/3
3155,"Cannabis use is increasing among older adults: As legalization advances, the number of those over 65 using the drug increased by 75% over three years.","Gantz, Sarah. 
",2020-02-26,proquest.com/docview/2364694720/citation/D7F887DB52824BC8PQ/4
3156,"Survey finds Pa. school nurses have anti-OD drug: Nearly 54% reported stocking naloxone. Researchers were surprised it was that high, but said more should.","Giordano, Rita. 
",2020-02-27,proquest.com/docview/2367368406/citation/2FE879EB594F40BDPQ/4
3157,"New at the Flower Show:Pot spotlight: No, there won't be samples. Or live plants. But info on medical use.","Wood, Sam. 
",2020-02-28,proquest.com/docview/2367368335/citation/3AE4456C4F4247AFPQ/10
3158,"Six fired officers may get jobs back: Police guidelines don't list domestic violence as punishable, leading to union grievances.; CHARGED WITH ABUSE","Melamed, Samantha. 
",2020-03-01,proquest.com/docview/2369658358/citation/E8A4FC3275CE45EFPQ/3
3159,"Injection site backers continue to work: Community input an important part of process, supporters say.","Whelan, Aubrey. 
",2020-03-01,proquest.com/docview/2369660434/citation/E8A4FC3275CE45EFPQ/9
3160,"Booker meets man home from prison: N.J. senator helped pass the First Step Act, which can mitigate sentences for nonviolent drug offenses.","Burney, Melanie. 
",2020-03-01,proquest.com/docview/2369660379/citation/E8A4FC3275CE45EFPQ/13
3161,Just Saying No to Drug Site: Hundreds rallied over a withdrawn plan for injections to be supervised.,"Dean, Mensah M. 
",2020-03-02,proquest.com/docview/2369660246/citation/F0D12FD81E94BDDPQ/8
3162,"New firm will look to grow hemp supply: Formed by a trio with experience in the field, it looks to an IPO to raise $150M this month.; AGRICULTURE","Wood, Sam. 
",2020-03-03,proquest.com/docview/2370191157/citation/E814C177D78B43A2PQ/7
3163,Sanders' California dreamin',"Bunch, Will. 
",2020-03-03,proquest.com/docview/2370193998/citation/E814C177D78B43A2PQ/11
3164,"Heroin mill participant gets probation: He helped Bucks DA probe the outfit from the time he was arrested. Judge not ""thrilled,"" but accepting.","Vella, Vinny. 
",2020-03-03,proquest.com/docview/2370192191/citation/E814C177D78B43A2PQ/17
3165,"Safehouse botched it, but there's a path forward","Gutman, Abrahahm. 
",2020-03-04,proquest.com/docview/2370751350/citation/8DD4A8D43EEB4D0APQ/13
3166,Police tested facial recognition program: Clearview AI is controversial for mining images from the internet. But another database is already in use.,"Melamed, Samantha. 
",2020-03-06,proquest.com/docview/2372401180/citation/1ECEEFED72564A10PQ/13
3167,When growth comes at a price: Neighbors complain about traffic and more as an all-day delivery service expands.; COVER STORY | LOCAL ECONOMY,"DiStefano, Joseph N. 
",2020-03-08,proquest.com/docview/2374842094/citation/8510AE8BC03941B4PQ/35
3168,The weed industry spent a record $2 million to lobby in N.J. in 2019,"Wood, Sam. 
",2020-03-10,proquest.com/docview/2375582957/citation/8B75EDC30EC34BA8PQ/10
3169,"Pill-mill case nets 2 doctors, plus 2 others","Rushing, Ellie. 
",2020-03-11,proquest.com/docview/2376427079/citation/1E6655B25F7F4F1APQ/14
3170,Bill would ease DUI law for users of medical pot: Current law in Pa. bans drivers from having it in their system.,"Wood, Sam. 
",2020-03-12,proquest.com/docview/2376428181/citation/7A987F9127B74016PQ/12
3171,Don't ignore our other epidemic: Gun violence,"Ubinas, Helen. 
",2020-03-12,proquest.com/docview/2376426173/citation/7A987F9127B74016PQ/23
3172,Delco teen enters guilty plea: He shot a classmate in the face during a botched drug deal last year.,"Vella, Vinny. 
",2020-03-13,proquest.com/docview/2377554828/citation/12BC1709191D4F2CPQ/21
3173,WOLF CALLS FOR WIDER SHUTDOWN: Wolf widens area shutdown,"Nark, Jason; Sam Wood  Contributing to this article were  Amy S. Rosenberg; Khalifa, Heather; Mastrull, Diane; Snyder, Susan; et al. 
",2020-03-15,proquest.com/docview/2377554538/citation/C564B733C7234848PQ/3
3174,Businesses stunned by Wolf's shutdown request,"Wood, Sam; Klein, Michael. 
",2020-03-15,proquest.com/docview/2377554956/citation/C564B733C7234848PQ/7
3175,"The guns in the shadows: Sold unassembled in kits, ""ghost"" firearms are a growing worry for officials facing opposition by gun-rights groups.","Dean, Mensah M. 
",2020-03-15,proquest.com/docview/2377554603/citation/C564B733C7234848PQ/11
3176,"IT'S A DONE DEAL: NFL players OK collective bargaining agreement; Players OK deal, 17-game season","Bowen, Les. 
",2020-03-16,proquest.com/docview/2377792212/citation/ACD83D3548824BD2PQ/15
3177,MEDICAL: Cuts in visitation and some services.,"Whelan, Aubrey; Gantz, Sarah. 
",2020-03-17,proquest.com/docview/2377792142/citation/6BC527E1AA26476EPQ/3
3178,"McSwain blames DA in officer's death: He said Krasner's ""pro-violent-defendant policies"" had put back on the street a man sought in a 2019 killing.","Shaw, Julie; Palmer, Chris. 
",2020-03-17,proquest.com/docview/2377792177/citation/6BC527E1AA26476EPQ/15
3179,Pa. pot dispensers seeking volunteers: And medical marijuana providers say they are asking the state to allow for home deliveries.,"Wood, Sam. 
",2020-03-18,proquest.com/docview/2378376808/citation/CC57AC09A3164FF7PQ/14
3180,Murder charges due in officer's shooting: Krasner says man fired more than 20 shots at SWAT team. Police corporal was climbing the stairs when he was hit.,"Palmer, Chris. 
",2020-03-18,proquest.com/docview/2378384969/citation/CC57AC09A3164FF7PQ/19
3181,"Homeless Hit: In shelters, too close; on the street, too vulnerable.","Melamed, Samantha. 
",2020-03-20,proquest.com/docview/2382247944/citation/DC53342A429C4BCDPQ/17
3182,"Now, family has an additional person to mourn","Armstrong, Jenice. 
",2020-03-20,proquest.com/docview/2382247418/citation/DC53342A429C4BCDPQ/24
3183,Green cleaning in coronavirus fight,"Gray, Ellen. 
",2020-03-20,proquest.com/docview/2382244692/citation/DC53342A429C4BCDPQ/32
3184,"Relaxed rules allow cannabis pickup, delivery","Wood, Sam. 
",2020-03-21,proquest.com/docview/2382244760/citation/BBB576C22B384F92PQ/11
3185,"FROM BAD TO WORSE: REGION: Cases rise, N.J. stiffens closings, Pa. eyes primary delay.; As cases mount, states respond","Gammage, Jeff; Verma, Pranshu; Maddie Hanna  Inquirer  Sean Collins Walsh; Madej, Patricia; Gralish, Tom; et al. 
",2020-03-22,proquest.com/docview/2382243958/citation/1A574D1A9056482CPQ/1
3186,"Risks for smokers, and stress: More vulnerable to effects, they may also have a greater urge now to smoke or vape.","Burling, Stacey. 
",2020-03-22,proquest.com/docview/2382243946/citation/1A574D1A9056482CPQ/9
3187,"Six charged in Schuylkill killings: They are accused in the 2014 kidnap, torture of Vietnamese brothers dumped in the river.","Roebuck, Jeremy. 
",2020-03-23,proquest.com/docview/2382244727/citation/FE17B663A597410APQ/4
3188,Health safety vs. drug safety: Social distancing can leave users isolated. And that creates a greater risk.,"Whelan, Aubrey; Melamed, Samantha. 
",2020-03-23,proquest.com/docview/2382244504/citation/FE17B663A597410APQ/5
3189,N.J. allows medical pot curbside service: The state announced Monday that it was relaxing rules to reduce exposure to the virus.,"Wood, Sam. 
",2020-03-24,proquest.com/docview/2382879458/citation/2FE3993E4DFB42B4PQ/12
3190,UNITY: Games figure to have healing power when they are held.,"Hayes, Marcus. 
",2020-03-25,proquest.com/docview/2382879307/citation/E601554424B34445PQ/30
3191,"FOR THOSE WHO CAN'T STAY ISOLATED Patients needing treatment for cancer, kidney ailments, addiction and more need to break the warnings to the rest of us.: Safe","Whelan, Aubrey. 
",2020-03-29,proquest.com/docview/2384333145/citation/6718CE8667574283PQ/27
3192,"Sterile syringe exchanges offer information, too","Pattani, Aneri. 
",2020-03-31,proquest.com/docview/2384634082/citation/41785B5888549FEPQ/7
3193,"Pa. marijuana grower is sold: The buyer, an Ariz.-based company, has been investigated for some of its other actions in Pa.","Wood, Sam. 
",2020-03-31,proquest.com/docview/2384633570/citation/41785B5888549FEPQ/12
3194,"WEIRDEST MONTH OF THE CENTURY: Our life upended with no end in sight, we offer a run-down on some of the reasons why March made us scratch our heads in amazement.","Farr, Stephanie. 
",2020-03-31,proquest.com/docview/2384634066/citation/41785B5888549FEPQ/36
3195,"Hotel Starts Taking Patients: ""SOFT LAUNCH"": With other sites likely to open, effort is a work in progress.","Whelan, Aubrey; Newall, Mike. 
",2020-04-02,proquest.com/docview/2385530610/citation/657A9DA44053423CPQ/17
3196,"Phil-ins: For the sidelined 2020 team, baseball's replacement spring 25 years ago rings a bell","Fitzpatrick, Frank. 
",2020-04-04,proquest.com/docview/2386618450/citation/F2BDF51F2D494DF4PQ/24
3197,New challenge for ventilator use looms: Shortage of more than a dozen medications needed to intubate patients could be a factor.,"Gantz, Sarah. 
",2020-04-05,proquest.com/docview/2386617856/citation/44B4D0CE78B94AE4PQ/8
3198,"Homeless in South Philly's shadows: From the neighborhood or pushed out of other areas, their numbers grow.","Newall, Mike; Photos by DAVID MAIALETTI. 
",2020-04-05,proquest.com/docview/2386617889/citation/44B4D0CE78B94AE4PQ/11
3199,It's time to get your hands dirty: Pros offer some advice on what needs attention now in your lawn and garden.,"Thompson, Gary. 
",2020-04-05,proquest.com/docview/2386618084/citation/44B4D0CE78B94AE4PQ/41
3200,Ventnor fenced off; sex shop scolded: Another strange chapter of life at the Shore.,"Rosenberg, Amy S. 
",2020-04-06,proquest.com/docview/2386617959/citation/902D27AD07F84267PQ/3
3201,"New hurdles for vulnerable kids: Effects of poverty, health issues, or other special needs are exacerbated by cutbacks in safety-net services amid the pandemic.","Ruderman, Wendy. 
",2020-04-07,proquest.com/docview/2387101970/citation/E1C2288E7FE44DAAPQ/3
3202,"DEA relaxes regulation on CBD-based epilepsy drug: It's still available only with a prescription, but a layer of monitoring has been dropped.","Wood, Sam. 
",2020-04-07,proquest.com/docview/2387102892/citation/E1C2288E7FE44DAAPQ/13
3203,"N.J. needle exchanges also affected: Although they are considered essential operations, lack of PPE brings closures.","Whelan, Aubrey. 
",2020-04-11,proquest.com/docview/2389074657/citation/A937E7E5DC7A4B28PQ/6
3204,"MARIJUANA: Pa.'s sales of medical pot are thriving after being labeled ""essential"" business.","Wood, Sam. 
",2020-04-14,proquest.com/docview/2389377294/citation/BF7E28BBFE804A34PQ/2
3205,Getting a medical pot card amid a pandemic,"Vadala, Nick. 
",2020-04-14,proquest.com/docview/2389376781/citation/BF7E28BBFE804A34PQ/23
3206,"Bernard Kimmins, teacher and anti-crime activist in city","Cook, Bonnie L. 
",2020-04-15,proquest.com/docview/2389934497/citation/884688F8E4834B87PQ/28
3207,CANNABIS: Hundreds of medical-marijuana jobs are remaining unfilled because of worker testing backlog.,"Wood, Sam. 
",2020-04-16,proquest.com/docview/2390344857/citation/32447DD0A6C4474FPQ/14
3208,"Execution date set for man in torture, killings: It would be Pa.'s first since 1999, but Wolf declared a moratorium when he took office.","Roebuck, Jeremy. 
",2020-04-16,proquest.com/docview/2390346617/citation/32447DD0A6C4474FPQ/30
3209,NTSB: Halladay did stunts before fatal plane crash,"Breen, Matt. 
",2020-04-16,proquest.com/docview/2390345396/citation/32447DD0A6C4474FPQ/37
3210,"Behind the Masks: While the face coverings are everywhere, there are holdouts, by choice or circumstance. That frustrates and angers others.","Melamed, Samantha. 
",2020-04-19,proquest.com/docview/2392122913/citation/FC0AC0F2ADA54EF6PQ/2
3211,Penn cancer pioneer's new challenge: The leader in T-cell immune therapy has joined the global race for a COVID-19 treatment.,"McCullough, Marie. 
",2020-04-19,proquest.com/docview/2392122531/citation/FC0AC0F2ADA54EF6PQ/9
3212,"Grief in Isolation: ""MY LITTLE BUDDY"": They lost their 7-year-old son to what was blamed on the flu, before the pandemic hit the area hard.","Panaritis, Maria. 
",2020-04-19,proquest.com/docview/2392122838/citation/FC0AC0F2ADA54EF6PQ/12
3213,Should I stop smoking pot right now?,"Lai, Jonathan. 
",2020-04-19,proquest.com/docview/2392122772/citation/FC0AC0F2ADA54EF6PQ/32
3214,Antidepressant use rises with stresses: A report found a 20% increase in the use of prescription antianxiety medication in a month.,"Ao, Bethany. 
",2020-04-24,proquest.com/docview/2394442563/citation/2FA7969631C04AA2PQ/5
3215,THE PROMISE OF PORTUGAL,"Photography by Jose F. Moreno. 
",2020-04-26,proquest.com/docview/2395068533/citation/3730FCFDCEE14BABPQ/43
3216,"Paul Dandridge, judge in Phila.","Cook, Bonnie L. 
",2020-04-28,proquest.com/docview/2395388111/citation/FF255A0957FE4C0DPQ/23
3217,"A place to live, but not the Ritz: Hotel for quarantined people who can't isolate or are homeless has issues.","Whelan, Aubrey. 
",2020-05-05,proquest.com/docview/2398384009/citation/180032EF5F354A21PQ/7
3218,Jefferson set to study pot effects,"Wood, Sam. 
",2020-05-06,proquest.com/docview/2398971796/citation/1589A57DEE3641CAPQ/17
3219,REENTRY:Ex-inmates find that early release has a new set of issues.,"Melamed, Samantha. 
",2020-05-11,proquest.com/docview/2400716973/citation/7CED0530A47F49C5PQ/2
3220,No sports has meant a big shift for many of us: Here are your fan-favorite suggestions for how to cope.,"Narducci, Marc. 
",2020-05-13,proquest.com/docview/2402166627/citation/D92E5F8ED3EC401BPQ/34
3221,Overdose deaths rose again in 2019 after a dip,"Whelan, Aubrey. 
",2020-05-14,proquest.com/docview/2404172330/citation/6C99DA3BF01F4494PQ/2
3222,"Children hit by latest complication: Although kids often have mild or no symptoms, an inflammatory syndrome has officials on alert.","McCullough, Marie. 
",2020-05-14,proquest.com/docview/2404172088/citation/6C99DA3BF01F4494PQ/7
3223,Quarantine food: Let us eat tamales,"Craig LaBan FOOD CRITIC. 
",2020-05-17,proquest.com/docview/2404467322/citation/DCB4104BE7E3456FPQ/28
3224,Chesco drug rehab facility is sued over fatal OD,"Arvedlund, Erin; Whelan, Aubrey. 
",2020-05-21,proquest.com/docview/2405376097/citation/8CFCBEC6160C4208PQ/18
3225,Terry Furlow was talented - and self-destructive: Ex-Sixer's Crashing End,"Sielski, Mike. 
",2020-05-22,proquest.com/docview/2405753748/citation/D70D5F189A59432EPQ/23
3226,"Fighting relapse, one knock at a time","Gartner, Lisa. 
",2020-05-24,proquest.com/docview/2406719207/citation/AC4A32A2D3C04AFAPQ/2
3227,"Making New Rules for Travel: FLYING: PHL works to respond to safety needs, expectations of the public.","Dunn, Catherine. 
",2020-05-30,proquest.com/docview/2408346895/citation/A0425F9395994678PQ/5
3228,Chemical found in soils in S. Jersey: Scientists said the group of compounds was likely a substitute for the toxic PFAS. Whether it's a danger is unknown.,"Kummer, Frank; Purcell, Dylan. 
",2020-06-05,proquest.com/docview/2409766273/citation/2D661A5294384E07PQ/16
3229,"Hard life even harder: In Kensington, the looting was yet one more blow.","Whelan, Aubrey. 
",2020-06-07,proquest.com/docview/2410532365/citation/EDC01150D8094F52PQ/14
3230,Leach falls to Cappelletti in primary: The state senator had lost support over allegations of inappropriate touching and sexualized jokes.,"Seidman, Andrew; Steele, Allison. 
",2020-06-07,proquest.com/docview/2410532479/citation/EDC01150D8094F52PQ/15
3231,'Raw and real' in self-discovery: Hairstylist's podcasts are intimate conversations with friends and clients.,"Riordan, Kevin. 
",2020-06-07,proquest.com/docview/2410532511/citation/EDC01150D8094F52PQ/42
3232,GOP donors get chance at pot permit: Pa. legislation gives rare chance for them to seek a cannabis spot that was revoked.,"Wood, Sam. 
",2020-06-09,proquest.com/docview/2410884286/citation/D3843C9BBC51404DPQ/7
3233,"Ex-guard charged in drug ring: The DA alleges he helped smuggle opioids into the Bucks prison, earning enough for a trip to Disney.","Vella, Vinny. 
",2020-06-09,proquest.com/docview/2410884287/citation/D3843C9BBC51404DPQ/15
3234,Looted pot locations facing state roadblocks: They want to beef up security. Pa. says: Not so fast.,"Wood, Sam. 
",2020-06-10,proquest.com/docview/2411230586/citation/7AC7A1DD12BC4C0APQ/12
3235,"N.J. bill would end most weed arrests: It would not legalize marijuana, but dial down the penalties.","Wood, Sam. 
",2020-06-13,proquest.com/docview/2413227926/citation/8F474CBA0F754471PQ/8
3236,Bucks DA: Drug ring is broken; was an 'empire',"Vella, Vinny. 
",2020-06-13,proquest.com/docview/2413228212/citation/8F474CBA0F754471PQ/15
3237,Temple gets grant to study cocaine therapy: Drug could help curb cravings in people in addiction. Researchers say racism plays a part in lack of treatments.,"Whelan, Aubrey. 
",2020-06-17,proquest.com/docview/2414116027/citation/C3922CDD95034511PQ/4
3238,"Steroid virus news cheered, questioned: U.K. researchers say a drug cuts COVID-19 deaths by a third. Physicians skeptical due to study's release method.","McCullough, Marie. 
",2020-06-17,proquest.com/docview/2414116045/citation/C3922CDD95034511PQ/5
3239,"Marijuana dispensaries opening in region: On the Main Line and Vineland, medical cannabis needs are being catered to. Another is coming to Chestnut Street next month.","Wood, Sam. 
",2020-06-17,proquest.com/docview/2414116084/citation/C3922CDD95034511PQ/12
3240,Teen is sentenced in wounding of classmate: He pleaded guilty in March to reckless endangerment. The incident grew from a drug deal.,"Vella, Vinny. 
",2020-06-18,proquest.com/docview/2414561535/citation/229D70F8402144C4PQ/14
3241,A Threat to Police Union Clout: FOP's John McNesby recognizes the shift in political winds.,"Gambacorta, David; Juliana Feliciano Reyes; Bender, William; Sean Collins Walsh. 
",2020-06-21,proquest.com/docview/2415566307/citation/BA45334DFCBD4987PQ/3
3242,"His Favorite Role:Dad: Father of Sixers' Tobias Harris is living out his dream; In his success story, his favorite role is father","Pompey, Keith. 
",2020-06-21,proquest.com/docview/2415566415/citation/BA45334DFCBD4987PQ/15
3243,"Purchase to put grower in line to be a Pa. power: Jushi, which already has medical-marijuana dispensaries, wants to buy a Scranton firm.","Wood, Sam. 
",2020-06-23,proquest.com/docview/2416028788/citation/4E744C9C69AF4ACAPQ/6
3244,Challenge to Narcotics unit policies: PUBLIC DEFENDER: Says a pattern of lies taints testimony from officers.; Officers,"Melamed, Samantha. 
",2020-06-24,proquest.com/docview/2416723454/citation/FF6F30F0A09A4D8FPQ/8
3245,"IN FISHTOWN, NIGHT OF MENACE: Vigilantes with weapons terrorized protesters as police watched.","Ruderman, Wendy; Laker, Barbara. 
",2020-06-25,proquest.com/docview/2418447598/citation/6B62AC78BECF42D8PQ/2
3246,"STARTING OVER: McPherson Square Library, a lifesaver in Kensington, suffers thousands in losses from two break-ins.","Newall, Mike. 
",2020-06-26,proquest.com/docview/2418447547/citation/77E31975C32F4307PQ/17
3247,"A.C.'s New Groove?: As casinos prepare to reopen, the Shore town known for resilience is hoping it has weathered the storm.","Rosenberg, Amy S. 
",2020-06-28,proquest.com/docview/2418882082/citation/C9AB6CE244484766PQ/1
3248,"A rare kids' illness looms in '20: A new treatment may work, but it will cost millions to test.; A TWO-YEAR CYCLE","Avril, Tom. 
",2020-07-04,proquest.com/docview/2420329332/citation/B53459B45EA84588PQ/2
3249,"Baseball took him to the top, and his many stops along the way prepared him to manage the Phillies.","Brookover, Bob. 
",2020-07-05,proquest.com/docview/2420328467/citation/6FC22A32EF1E4F81PQ/20
3250,"In Phila.'s Hispanic community, added burden: OD rates are rising, but a language barrier limits options.; HEALTH CARE","Whelan, Aubrey. 
",2020-07-06,proquest.com/docview/2420328563/citation/2FE211FEFC924A4EPQ/2
3251,We must end policing as we know it: I can't stop thinking about the banal evil of the cops who killed Elijah McClain.,"Bunch, Will. 
",2020-07-07,proquest.com/docview/2420898087/citation/CF7FCE0B732840DDPQ/8
3252,"Alan Cowan, researcher in opioid-addiction care","Cook, Bonnie L. 
",2020-07-08,proquest.com/docview/2421237868/citation/8F73D46948054837PQ/19
3253,Man gets 14 years in gun scheme,"Shaw, Julie. 
",2020-07-11,proquest.com/docview/2423332121/citation/634ABD5897E445B3PQ/12
3254,BLACK AND BLUE: CHAPTER 1; FIGHT FOR FREEDOM; CHAPTER 2; FREE BUT UNEQUAL; CHAPTER 4; EYES ON INJUSTICE; CHAPTER 3; THE RIZZO YEARS; CHAPTER 5; THE STRUGGLE CONTINUES; BLACK AND BLUE|A HISTORY OF POLICE VIOLENCE; BLACK AND BLUE|A HISTORY OF POLICE +; VIOLENCE; CHAPTER 4; CHAPTER 3,"ByDAIN SAINT,CRAIGR. McCOY,TOMMYROWAN,andVALERIERUSS. 
",2020-07-12,proquest.com/docview/2423332118/citation/67F9E35B781543EDPQ/8
3255,INFLAMMATION: Doctors learn to adapt to differing immune systems.: Doctors work to calm virus 'storm',"Avril, Tom. 
",2020-07-14,proquest.com/docview/2423643615/citation/D0DD2EC0CCCE4D09PQ/1
3256,How do the gun laws in Pennsylvania work?,"Vadala, Nick. 
",2020-07-16,proquest.com/docview/2424233946/citation/BA8B2B0F7A294331PQ/19
3257,"Summer's bounty: Freezing tips and easy recipes to make the most of local, fresh produce.; Freezing tips","Dickinson, Grace. 
",2020-07-16,proquest.com/docview/2424234253/citation/BA8B2B0F7A294331PQ/36
3258,Suicide-related OTC painkiller incidents rise: The number using drugs such as acetaminophen or ibuprofen increased by about a third over 18 years.,"Ao, Bethany. 
",2020-07-31,proquest.com/docview/2429337234/citation/E3C2F6C86F334CCCPQ/5
3259,"FSD Pharma leaving cannabis: The CEO cited ""supply glut"" in Canada.","Wood, Sam. 
",2020-07-31,proquest.com/docview/2429337382/citation/E3C2F6C86F334CCCPQ/9
3260,"William Carey, pediatrician, teacher","Cook, Bonnie L. 
",2020-07-31,proquest.com/docview/2429337466/citation/E3C2F6C86F334CCCPQ/19
3261,Serving up free meals and social justice: The People's Kitchen cooks for those in need and works to tackle the roots of food insecurity.,"Craig LaBan FOOD CRITIC. 
",2020-08-02,proquest.com/docview/2429919543/citation/C0C0A5175BA64737PQ/40
3262,Outbreak of a child-paralyzing virus is expected,"Avril, Tom. 
",2020-08-05,proquest.com/docview/2430512608/citation/9DEBDDE8CBF40B0PQ/6
3263,"Overdose-alert app set for broader test: It helps people citywide respond, so that those nearby with naloxone can help someone quickly.","Whelan, Aubrey. 
",2020-08-07,proquest.com/docview/2431104097/citation/179D612C3CB6445BPQ/5
3264,"When a Lumberton man was being treated for COVID-19, docotrs discovered treatments and his family grew to trust strangers","McCullough, Marie. 
",2020-08-09,proquest.com/docview/2432197938/citation/89DBA13AFF6A4434PQ/33
3265,"Kids in Need, Preyed Upon: At Devereux, the nation's leading behavioral health nonprofit for youth, staff abused children in their care for years, while red flags were dismissed.; SPECIAL REPORT|HOPE, HELP, HARM","Gartner, Lisa; Laker, Barbara. 
",2020-08-12,proquest.com/docview/2433020009/citation/85DD32220EB4AEFPQ/3
3266,"Pushing for more police reforms: Civil rights lawyers say racial disparities are still apparent, and now are seeking broader changes.; STOP AND FRISK","Melamed, Samantha. 
",2020-08-13,proquest.com/docview/2433592971/citation/6CD5E6AFAEB54527PQ/3
3267,"A sense of closure at last after massacre: Woman was 5 when she saw her parents and sister killed by a hit man's mistake. 38 years later, he's dead.","Silverman, Ellie. 
",2020-08-13,proquest.com/docview/2433592913/citation/6CD5E6AFAEB54527PQ/16
3268,Athletes' hearts are vulnerable to virus: But there's so much that's still not known about it.,"McCullough, Marie. 
",2020-08-14,proquest.com/docview/2434144429/citation/C24090901A98497CPQ/4
3269,14-year federal term in beer deli shooting: U.S. attorney charged the man after DA's Office offered plea deal with shorter sentence.; Shooting,"Shaw, Julie. 
",2020-08-14,proquest.com/docview/2434144724/citation/C24090901A98497CPQ/10
3270,Charge: Hit man was sought to kill teen: New Jersey man had traded sexually explicit photos with the youth. Site he used was a scam.,"Roebuck, Jeremy. 
",2020-08-14,proquest.com/docview/2434144590/citation/C24090901A98497CPQ/11
3271,Woman charged in death of 18-year-old: The victim's body was in the basement of the accused's home. She vanished in Sept.,"Rushing, Ellie. 
",2020-08-14,proquest.com/docview/2434144449/citation/C24090901A98497CPQ/21
3272,More facts on killing of four in basement: The shooters were friends with two of their victims.; Killings,"Palmer, Chris. 
",2020-08-15,proquest.com/docview/2434607020/citation/792573B1ACA9408EPQ/9
3273,Lockdown Growth: Heightened anxiety because of the virus has led to a boost in Pennsylvania's sales.; COVER STORY | MEDICAL MARIJUANA; Lockdown a boon for dispensaries in Pa.,"Wood, Sam. 
",2020-08-16,proquest.com/docview/2434606370/citation/3A3B9733FC214FEEPQ/43
3274,Weed education options expand: Marijuana,"Burkholder, Sophie. 
",2020-08-17,proquest.com/docview/2434606407/citation/BA3887252CF841FDPQ/10
3275,"Pandemic doesn't slow drug markets: Closed borders haven't affected sales, as buyers and sellers act like there's no COVID-19.; Opioid crisis","Whelan, Aubrey. 
",2020-08-18,proquest.com/docview/2434995811/citation/7B895805BAC44795PQ/2
3276,3-year sentence for rehab firm cofounder: Liberation Way was used to gain millions of dollars illegally through kickbacks and unnecessary tests.,"Roebuck, Jeremy. 
",2020-08-18,proquest.com/docview/2434995023/citation/7B895805BAC44795PQ/15
3277,Delco man's arrest leads to break in another case: He took over a vehicle and tried to run down a Chester police officer. Link found to Christmas Eve killing.,"Vella, Vinny. 
",2020-08-21,proquest.com/docview/2436964649/citation/910C6511A8B54ADEPQ/18
3278,Channeling her grief to issue warning about drugs,"Armstrong, Jenice. 
",2020-08-24,proquest.com/docview/2437269950/citation/EC5D9F7EC32D4581PQ/5
3279,U. Gwynedd police say suspect fired at officer,"Diane Mastrull /WEEKEND EDITOR. 
",2020-08-24,proquest.com/docview/2437269979/citation/EC5D9F7EC32D4581PQ/12
3280,Decoding Marijuana: What experts say new patients need to know.,"Wood, Sam. 
",2020-08-24,proquest.com/docview/2437270589/citation/EC5D9F7EC32D4581PQ/13
